X1,Week1,Week,Date,Topic,Read Before Class,Watch Before Class,In-Class Activity,Assignment handed out or due,Topics to cover in pre-class video
WHY ARE WE FASCINATED BY TROPICAL RAIN FORESTS?,Week ,1,24-Aug,Introductions,-,-,"Introductions Fill out the questionaire, ""Move-around"" activity to get to know each other",,
,,,26-Aug,Setting the stage: historical narratives ,,-,Review Historical Narratives and Art,,
,,,,,,-,,,
,Week ,2,31-Aug,Rain forests in High & Popular Culture,,-,Magazine Search OR Marketing Analysis (ie Bai labels),,
,,,2-Sep,The Rain Forest in film & TV,(1) Jolly 2021 and (2) Wolf & Mills 2016 (short online articles),,Rain Forest Movie Tropes - Read and review Examples,Movie Reviews Handed Out,
,,,,,,,,,
THE ECOLOGY & EVOLUTION OF TROPICAL RAIN FORESTS,Week ,3,7-Sep,What is a Rain Forest?,Juniper Ch. 1-2 (pp 15-54),-,"How do we define ""tropical""?",,"structure, layers, rain, climate"
,,,9-Sep,Patterns of Biodiversity,,-,working with biodfiversity data to plot latitudinal patterns  Each groupw orks with diofferent taxon. Maybe give one an exception like salamanders and working with biodfiversity data to plot local species abundance patterns. ,,"syndromes, form and function, patterns of species diversity for different groups, cool biodiversity stories, interaction types"
,,,,,,,,,
,Week ,4,14-Sep,Coevolution and the origins of tropical biodiversity,Juniper Ch. 3-4 (pp 55-102),-,,,"syndromes, form and function, patterns of species diversity for different groups, cool biodiversity stories, interaction types"
,,,16-Sep,BUTTERFLY RAIN FOREST,,-,FLMNH ,,"syndromes, form and function, patterns of species diversity for different groups, cool biodiversity stories, interaction types"
,,,,,,,,,
,Week ,5,21-Sep,"Forest disturbance, dynamics, & the maintenance of diversity",,,hurricane mapping?,,"lakes, forest disturbance, hurricanes"
,,,23-Sep,Humans as part of rain forests,Juniper Ch. 5 (pp 106-124),-,"exercise on population size, tropical megacities, migrations",,"The Rural Tropics, The Urban Tropics"
,,,,,,,,,
,Week ,6,28-Sep,Rain Forest Manipulation & the Paradox of Luxuriance,,-,why are tropical soils poor? Terra preta,,
,,,30-Sep,Forest-Savanna Boundaries and Tipping Points,Staver et al. 2011 (pp 230-232),-,staver paper,Movie Reviews Due,
,,,,,,,,,
,Week ,7,5-Oct,Rain Forests: Fact vs. Fiction,,,discussion of tropes,,
,,,7-Oct,(BAD) RAIN FOREST MOVIE FEST 2021,,-,movie fest!,,
,,,,,,,,,
THE CONSEQUENCES OF FOREST LOSS,Week ,8,12-Oct,Forest cover and forest loss I,Juniper Ch. 6 (pp 125-37) & Nolen 2018 (online news article),,analysis of deforestation data https://www.globalforestwatch.org/,Essay Assignment Handed Out,"Drivers of Deforestation, Infrastrcutre"
,,,14-Oct,Forest cover and forest loss II,Juniper Ch. 12-13 (pp 220-253),-,analysis of deforestation data https://www.globalforestwatch.org/,,
,,,,,,-,,,
,Week ,9,19-Oct,"Mining, Timber",,-,guest speaker? Journalist covering this,,Forest Degradation and Fragmentation
,,,21-Oct,Agriculture and Fire,zu Ermgassen et al. 2020 (pp 31770-31779),,palm oil hunt,Essay Assignment Due,"soy, palm oil"
,,,,,,,,,
,Week ,10,26-Oct,Climate change I,Juniper Ch. 7 (pp 138-153),,https://www.climateinteractive.org/tools/en-roads/,,
,,,28-Oct,Climate change II,,-,https://www.climateinteractive.org/tools/en-roads/,PA & AC Assignments Handed Out,
,,,,,,,,,
THE FUTURE OF RAIN FORESTS,Week ,11,2-Nov,Consumer choices,Juniper Ch. 15-17 (pp 278-330),-,https://www.learngala.com/cases/palm-oil-rspo OR guest Speaker OR palm oil hunto in products sold in campus stores,,temperate zone demands
,,,4-Nov,DURIAN FEST 2021,Lawal (online newspaper article),-,invite coffee certiiers,,
,,,,,,,,,
,Week ,12,9-Nov,International frameworks,Juniper Ch. 19-21 (pp 345-379),-,https://www.learngala.com/cases/1d0acab8-516d-4f78-b64d-85aeebc81876,,
,,,11-Nov,No class - holiday,,-,,,
,,,,,,,,,
,Week ,13,16-Nov,Protected areas,Juniper Ch. 18 (pp. 331-342),-,something with https://www.protectedplanet.net,,
,,,18-Nov,Forest restoration & regeneration,"Juniper, Ch. 20-22 (pp 355-371)",-,https://www.learngala.com/cases/restoring-tropical-forests,,
,,,,,,,https://www.learngala.com/cases/restoring-tropical-forests or conversation with Laury,,
,Week ,14,23-Nov,Project Work Day ,,-,open to work on projects,,
,,,25-Nov,No class - holiday,,-,,,
,,,,,,,,,
,Week ,15,30-Nov,"Local Initiatives, Empowered Communities",Juniper Ch 10 (pp 182-203) & Ch 14 (pp 254-274),-,How to be a terrible tourist in the tropics (conversation with Angelica) OR https://www.learngala.com/cases/shuttle-on-the-go,,"forest management, certified timber"
,,,2-Dec,"Philanthropy, NGOs, and Activism",Juniper Ch 8 (pp 154-170),-,Invited Leila Salazar Lopes from Amazon Watch https://www.learngala.com/cases/sustainable-agricultural-commodities,,
,,,,,,,,,
,Week ,16,7-Dec,Rain Forest Headlines,Juniper Ch 22 (pp 380-398),-,"Invited Juliana Barbassa, need a journo on the ground",,
,,,9-Dec,What will we do?,,-,,Personal And Campaign Assignment Due,
,,,,,,,,,
,,,15-Dec,Optional take-home final due by 9:30 AM,,,,,
